Designator,Footprint,Quantity,Value,link,Unir Cost,Cost,
"C1, C12",402,2,1uF,https://www.lcsc.com/product-detail/C29266.html?s_z=n_1uF&spm=wm.ssy.bg.4.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVlJURllaVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.0026*100=0.26,0.26,TRUE
"C10, C11, C17, C2, C3, C4, C5, C6, C7, C8, C9",402,11,0.1uF,https://www.lcsc.com/product-detail/C1525.html?s_z=n_CL05B104KO5NNNC&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVlFRQVNcUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1dYX1ZeT1NADxALGw%3D%3D,0.0013*100=0.13,0.13,TRUE
"C13, C14",603,2,10uF,https://www.lcsc.com/product-detail/C19702.html?s_z=n_10uF&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVldeRVBYVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.008*50=0.4,0.4,TRUE
"C15, C16",603,2,33pF,https://www.lcsc.com/product-detail/C107047.html?s_z=n_33pF&spm=wm.ssy.bg.2.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVlZXR1BeUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.003*100=0.3,0.3,TRUE
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,https://www.lcsc.com/product-detail/C165948.html?s_z=n_TYPE-C-31-M-12&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVlVVR1lfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.17*5=0.85,0.85,TRUE
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,https://www.lcsc.com/product-detail/C42431804.html?s_z=n_1x20&spm=wm.ssy.bg.1.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVVJVQ1hXVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.092*5=0.46,0.46,TRUE
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,https://www.lcsc.com/product-detail/C32713269.html?s_z=n_1x3%25202.54mm&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVVNWRFdXXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.0228*5=0.11,0.11,TRUE
"R1, R2",402,2,5.1K,https://www.lcsc.com/product-detail/C25905.html?s_z=n_0402WGF5101TCE&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVl1fRlNbUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.0008*100=0.08,0.08,TRUE
"R3, R4",402,2,27ohm,https://www.lcsc.com/product-detail/C25100.html?s_z=n_27ohm&spm=wm.ssy.bg.4.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVlxTR1ZeXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.0008*100=0.08,0.08,TRUE
"R5, R6",402,2,1K,https://www.lcsc.com/product-detail/C11702.html?s_z=n_0402WGF1001TCE&spm=wm.ssy.bg.0.xh&lcsc_vid=E1laAQVSFFhYUAYAEgcPUwUHRgNYVVBVEQUIAQIFRVgxVlNRQVBcVVRURFVaVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,0.0007*100=0.07,0.07,TRUE
