Designator,Mid X,Mid Y,Rotation,Layer
C1,88.0,-59.5,270.0,top
C10,86.0,-49.5,90.0,top
C11,85.25,-60.75,0.0,top
C12,77.0,-49.48,90.0,top
C13,76.75,-35.0,270.0,top
C14,80.0,-40.0,180.0,top
C15,86.0,-64.0,180.0,top
C16,78.0,-63.5,270.0,top
C17,82.0,-44.0,0.0,top
C2,88.435,-51.235,0.0,top
C3,84.5,-46.75,90.0,top
C4,88.5,-53.0,0.0,top
C5,88.52,-49.75,0.0,top
C6,76.75,-55.75,180.0,top
C7,77.5,-52.25,270.0,top
C8,85.25,-62.25,0.0,top
C9,88.5,-56.0,0.0,top
J1,82.34,-27.59,180.0,top
J2,73.61,-51.0,0.0,top
J3,91.39,-51.0,0.0,top
J4,82.34,-75.29,90.0,top
R1,84.75,-34.0,180.0,top
R2,81.99,-34.0,180.0,top
R3,84.63,-49.5525,270.0,top
R4,83.23,-49.5525,270.0,top
R5,82.75,-60.5,90.0,top
R6,76.5,-47.26,90.0,top
R7,79.5,-44.0,180.0,top
SW1,85.5,-40.75,270.0,top
U1,82.73,-54.99,90.0,top
U2,80.0,-36.75,270.0,top
U3,80.75,-46.25,0.0,top
Y1,81.75,-63.6,0.0,top
